Processing_Description,YS(MPa),UTS(MPa),El(%),Ag(wt%),Al(wt%),B(wt%),Be(wt%),Bi(wt%),Cd(wt%),Co(wt%),Cr(wt%),Cu(wt%),Er(wt%),Eu(wt%),Fe(wt%),Ga(wt%),Li(wt%),Mg(wt%),Mn(wt%),Ni(wt%),Pb(wt%),Sc(wt%),Si(wt%),Sn(wt%),Ti(wt%),V(wt%),Zn(wt%),Zr(wt%)
No Processing,20.684271,62.052813,45.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,0.0
No Processing,50.5,75.0,32.0,0.0,99.769954,0.0,0.0,0.0,0.0,0.0,0.0,0.015002999999999999,0.0,0.0,0.075015,0.015002999999999999,0.0,0.0,0.010001999999999999,0.0,0.0,0.0,0.075015,0.0,0.015002999999999999,0.025005,0.0,0.0
No Processing,34.473785,89.631841,35.0,0.0,99.72999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,34.473785,89.631841,27.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,27.579028,68.94757,43.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
No Processing,35.0,80.0,38.05,0.0,99.58485470000001,0.0,0.0,0.0,0.0,0.0,0.0,0.025008799999999998,0.0,0.0,0.20006999999999997,0.0,0.0,0.0,0.025008799999999998,0.0,0.0,0.0,0.1250438,0.0,0.015005299999989999,0.025008799999999998,0.0,0.0
No Processing,27.579028,75.842327,2.4,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.02,0.0,0.02,0.3,0.03,0.0
No Processing,27.579028,89.631841,32.0,0.0,99.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,34.473785,89.631841,35.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.6999999999999901,0.0,0.02,0.0,0.02,0.0
No Processing,40.0,125.0,25.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,41.368542,110.316112,25.0,0.0,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,55.0,115.0,24.0,0.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,41.368542,110.316112,30.0,0.0,98.85000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
No Processing,41.368542,110.316112,30.0,0.0,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,48.263299,131.000383,22.0,0.0,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,40.0,110.0,30.0,0.0,98.68,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,48.263299,131.000383,22.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,55.0,145.0,24.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,50.15,120.5,21.95,0.0,98.4992496,0.0,0.0,0.0,0.0,0.0,0.05002500000000001,0.05002500000000001,0.0,0.0,0.1750875,0.0,0.0,0.6753376999999999,0.05002500000000001,0.0,0.0,0.0,0.4002001,0.0,0.05002500000000001,0.0,0.05002500000000001,0.0
No Processing,55.158056,131.000383,25.0,0.0,98.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,45.0,120.0,26.05,0.0,98.3237428,0.0,0.0,0.0,0.0,0.0,0.0500375,0.1000751,0.0,0.0,0.3502627,0.0,0.0,0.8006005,0.1000751,0.0,0.0,0.0,0.15011259999999998,0.0,0.0,0.0,0.1250938,0.0
No Processing,41.368542,110.316112,30.0,0.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,55.158056,124.105626,25.0,0.0,97.95,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
No Processing,55.0,125.0,25.0,0.0,97.92,0.0,0.0,0.0,0.0,0.0,0.2,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
No Processing,45.0,105.0,25.0,0.0,97.8478478,0.0,0.0,0.0,0.0,0.0,0.0500501,0.0500501,0.0,0.0,0.3503504,0.0,0.0,0.1501502,1.20120119999999,0.0,0.0,0.0,0.25025029999999,0.0,0.0,0.0,0.10010010000000001,0.0
No Processing,68.94757,179.263682,20.0,0.0,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,90.5,110.5,18.05,0.0,97.7988994,0.0,0.0,0.0,0.0,0.0,0.10005000000000001,0.150075,0.0,0.0,0.35017509999998997,0.0,0.0,0.5002500999999899,0.5502751,0.0,0.0,0.0,0.30015009999999,0.0,0.05002500000000001,0.0,0.2001001,0.0
No Processing,55.158056,110.316112,35.0,0.0,97.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.6999999999999901,0.0,0.0,0.0,0.0,0.0
No Processing,50.15,100.3,27.0,0.0,97.6488244,0.0,0.0,0.0,0.0,0.0,0.05002500000000001,0.10005000000000001,0.0,0.0,0.2501251,0.0,0.0,0.4252126,0.10005000000000001,0.0,0.0,0.0,1.2506253,0.0,0.0750375,0.0,0.10005000000000001,0.0
No Processing,75.842327,186.158439,18.0,0.0,97.39999999999999,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,82.737084,179.263682,23.0,0.0,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,89.631841,193.053196,25.0,0.0,97.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,58.0,121.5,26.0,0.0,97.2472472,0.0,0.0,0.0,0.0,0.0,0.0500501,0.3753754,0.0,0.0,0.25025029999999,0.0,0.0,0.6006005999999899,0.5005005,0.0,0.0,0.0,0.8008008000000001,0.0,0.0500501,0.0,0.12512510000000002,0.0
No Processing,115.0,250.0,22.0,0.0,97.1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,68.94757,144.789897,20.0,0.0,96.95,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.6999999999999901,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
No Processing,62.1,152.5,25.5,0.0,96.9484742,0.0,0.0,0.0,0.0,0.0,0.0,0.1250625,0.0,0.0,0.35017509999998997,0.0,0.0,1.0505253,1.2506253,0.0,0.0,0.0,0.150075,0.0,0.0,0.0,0.1250625,0.0
No Processing,68.0,180.0,19.5,0.0,96.8968969,0.0,0.0,0.0,0.0,0.0,0.0750751,0.0750751,0.0,0.0,0.25025029999999,0.0,0.0,2.0520521,0.30030029999999,0.0,0.0,0.0,0.20020020000000002,0.0,0.0750751,0.0,0.0750751,0.0
No Processing,61.0,129.5,25.5,0.0,96.8468468,0.0,0.0,0.0,0.0,0.0,0.0500501,0.3753754,0.0,0.0,0.25025029999999,0.0,0.0,0.8008008000000001,0.5005005,0.0,0.0,0.0,1.001001,0.0,0.0500501,0.0,0.12512510000000002,0.0
No Processing,69.45,181.0,15.15,0.0,96.7725794,0.0,0.0,0.0,0.0,0.0,0.2501876,0.0500375,0.0,0.0,0.20015010000000003,0.0,0.0,2.5018764,0.0500375,0.0,0.0,0.0,0.1250938,0.0,0.0,0.0,0.0500375,0.0
No Processing,96.526598,227.526981,24.0,0.0,96.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.5000000000000004,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,117.210869,248.211252,22.0,0.0,96.35000000000001,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,115.0,240.0,27.0,0.0,96.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,56.0,116.0,26.5,0.0,95.947974,0.0,0.0,0.0,0.0,0.0,0.05002500000000001,2.6013007,0.0,0.0,0.2501251,0.0,0.0,0.4502251,0.2501251,0.0,0.0,0.0,0.2501251,0.0,0.0750375,0.0,0.1250625,0.0
No Processing,100.0,208.5,23.65,0.0,95.8719039,0.0,0.0,0.0,0.0,0.0,0.15011259999999998,0.0500375,0.0,0.0,0.20015010000000003,0.0,0.0,3.1023267,0.2501876,0.0,0.0,0.0,0.20015010000000003,0.0,0.07505629999999999,0.0,0.1000751,0.0
No Processing,87.35,225.5,15.0,0.0,95.81977470000001,0.0,0.0,0.0,0.0,0.0,0.1251564,0.0500626,0.0,0.0,0.20025030000000002,0.0,0.0,2.7033792,0.7509386999999901,0.0,0.0,0.0,0.1251564,0.0,0.1001252,0.0,0.1251564,0.0
No Processing,82.737084,151.684654,18.0,0.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,1.0999999999999999,0.8999999999999999,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
No Processing,110.5,235.0,23.0,0.0,95.623906,0.0,0.0,0.0,0.0,0.0,0.25006249999999997,0.0500125,0.0,0.0,0.20005,0.0,0.0,3.5008752,0.0500125,0.0,0.0,0.0,0.1250313,0.0,0.100025,0.0,0.100025,0.0
No Processing,117.210869,262.000766,22.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,115.0,260.0,22.0,0.0,95.39999999999999,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,68.94757,179.263682,22.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,140.0,275.0,28.0,0.0,94.88,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.31,0.0,0.0,4.32,0.33999999999999997,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
No Processing,105.1,229.9,22.6,0.0,94.85,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.4,0.0,0.0,3.1,0.5,0.0,0.0,0.0,0.4,0.0,0.15,0.0,0.2,0.0
No Processing,124.0,276.0,16.0,0.0,94.75,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,4.3999999999999995,0.6999999999999901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,102.0,253.5,16.0,0.0,94.6946947,0.0,0.0,0.0,0.0,0.0,0.1501502,0.0500501,0.0,0.0,0.25025029999999,0.0,0.0,4.004004,0.4504505,0.0,0.0,0.0,0.20020020000000002,0.0,0.0750751,0.0,0.12512510000000002,0.0
No Processing,144.789897,289.579794,22.0,0.0,94.65,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,151.684654,289.579794,35.0,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,143.0,280.0,25.0,0.0,94.5709282,0.0,0.0,0.0,0.0,0.0,0.0500375,0.07505629999999999,0.0,0.0,0.17513129999999,0.0,0.0,4.5033775,0.3502627,0.0,0.0,0.0,0.1000751,0.0,0.0500375,0.0,0.1250938,0.0
No Processing,120.5,265.5,14.0,0.0,94.04702350000001,0.0,0.0,0.0,0.0,0.0,0.150075,0.05002500000000001,0.0,0.0,0.2001001,0.0,0.0,4.45222609999999,0.70035019999999,0.0,0.0,0.0,0.2001001,0.0,0.0750375,0.0,0.1250625,0.0
No Processing,158.579411,310.264065,24.0,0.0,93.85,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,82.737084,199.947953,19.0,0.0,93.7,0.0,0.0,0.0,0.2,0.0,0.0,4.5,0.0,0.0,0.0,0.0,1.0999999999999999,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,75.0,185.0,20.0,0.0,93.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3999999999999995,0.0,0.0,0.0,0.0,0.0,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,117.0,276.0,14.0,0.0,93.4233558,0.0,0.0,0.0,0.0,0.0,0.1250313,0.0500125,0.0,0.0,0.20005,0.0,0.0,5.1012753,0.7501875,0.0,0.0,0.0,0.1250313,0.0,0.100025,0.0,0.1250313,0.0
No Processing,96.526598,186.158439,18.0,0.0,93.4,0.0,0.0,0.0,0.0,0.0,0.0,4.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
No Processing,75.842327,186.158439,20.0,0.0,93.4,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,170.0,345.0,20.0,0.0,93.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Processing,75.0,170.0,18.0,0.0,93.34,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
No Processing,68.94757,172.368925,20.0,0.0,93.15,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15
No Processing,75.0,185.0,20.0,0.0,92.7963982,0.0,0.0,0.0,0.0,0.0,0.05002500000000001,4.3521761,0.0,0.0,0.2501251,0.0,0.0,1.5007504,0.60030019999999,0.0,0.0,0.0,0.2501251,0.0,0.0750375,0.0,0.1250625,0.0
No Processing,48.263299,117.210869,28.0,0.0,90.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,6.25,0.0,0.0,0.0,0.0
No Processing,105.0,230.0,17.0,0.0,90.07,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,1.6,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59999999999999,0.0
No Processing,103.421355,227.526981,17.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.3,1.6,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59999999999999,0.0
No Processing,105.0,225.0,15.0,0.0,89.3625538,0.0,0.0,0.0,0.0,0.0,0.23016109999999998,1.6011208,0.0,0.0,0.2501751,0.0,0.0,2.5017511999999997,0.1501051,0.0,0.0,0.0,0.2001401,0.0,0.10006999999999999,0.0,5.6039227,0.0
No Processing,103.421355,227.526981,15.0,0.0,88.2,0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,0.0
No Processing,105.0,230.0,15.0,0.0,88.17,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,2.0,0.0,0.0,0.0,0.0,0.0,2.79999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,0.0
No Processing,151.684654,255.106009,14.0,0.0,87.2,0.0,0.0,0.0,0.0,0.0,0.3,2.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3999999999999995,0.0
Solutionised + Artificially over aged,80.3,95.6,7.4,0.0,92.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,7.02,0.0,0.13999999999999999,0.0,0.0,0.0
Solutionised + Artificially over aged,92.4,100.0,8.3,0.0,91.86,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,0.0,0.08,0.0,0.0,0.32,0.0,0.0,0.0,0.0,7.21,0.0,0.11,0.0,0.0,0.0
Solutionised + Artificially over aged,104.0,115.7,12.7,0.0,91.81,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.08,0.0,0.0,0.36,0.0,0.0,0.0,0.0,7.380000000000001,0.0,0.13999999999999999,0.0,0.0,0.0
Solutionised + Cold Worked + Naturally aged,140.0,190.0,17.0,0.06999999999999999,92.08,0.0,0.0,0.0,0.0,0.0,0.0,6.370000000000001,0.0,0.0,0.5700000000000001,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.66,0.0
Solutionised + Cold Worked + Naturally aged,140.0,210.0,15.0,0.0,91.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,0.0,0.0,0.6,0.0,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.6799999999999999,0.0
Solutionised + Cold Worked + Naturally aged,145.0,180.0,14.0,0.03,91.53,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.62,0.0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.76,0.0
Solutionised + Cold Worked + Naturally aged,140.0,185.0,14.0,0.1,91.51,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.61,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.73,0.0
Naturally aged,130.0,360.0,25.0,0.06999999999999999,92.08,0.0,0.0,0.0,0.0,0.0,0.0,6.370000000000001,0.0,0.0,0.5700000000000001,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.66,0.0
Naturally aged,140.0,350.0,26.0,0.0,91.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,0.0,0.0,0.6,0.0,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.6799999999999999,0.0
Naturally aged,145.0,360.0,23.0,0.03,91.53,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.62,0.0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.76,0.0
Naturally aged,150.0,350.0,13.0,0.1,91.51,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.61,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.73,0.0
Solutionised  + Artificially peak aged,380.0,480.0,12.0,0.06999999999999999,92.08,0.0,0.0,0.0,0.0,0.0,0.0,6.370000000000001,0.0,0.0,0.5700000000000001,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.66,0.0
Solutionised  + Artificially peak aged,330.0,440.0,8.0,0.0,91.60000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.8500000000000005,0.0,0.0,0.6,0.0,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.6799999999999999,0.0
Solutionised  + Artificially peak aged,360.0,420.0,4.0,0.03,91.53,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.62,0.0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.76,0.0
Solutionised  + Artificially peak aged,360.0,400.0,2.0,0.1,91.51,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.61,0.0,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.73,0.0
Solutionised + Artificially over aged,528.0,578.0,12.5,0.0,89.45,0.0,0.0,0.0,0.0,0.0,0.0,1.4500000000000002,0.0,0.0,0.06,0.0,0.0,1.7500000000000002,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,7.1499999999999995,0.12
Solutionised  + Artificially peak aged,530.0,582.0,13.5,0.0,89.45,0.0,0.0,0.0,0.0,0.0,0.0,1.4500000000000002,0.0,0.0,0.06,0.0,0.0,1.7500000000000002,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,7.1499999999999995,0.12
Naturally aged,89.631841,151.684654,20.0,0.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999901,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Naturally aged,65.0,124.5,14.65,0.0,98.4992496,0.0,0.0,0.0,0.0,0.0,0.05002500000000001,0.05002500000000001,0.0,0.0,0.1750875,0.0,0.0,0.6753376999999999,0.05002500000000001,0.0,0.0,0.0,0.4002001,0.0,0.05002500000000001,0.0,0.05002500000000001,0.0
Naturally aged,113.5,184.0,19.5,0.0,98.3237428,0.0,0.0,0.0,0.0,0.0,0.0500375,0.0500375,0.0,0.0,0.17513129999999,0.0,0.0,0.5003753,0.0500375,0.0,0.0,0.0,0.7505629,0.0,0.0500375,0.0,0.0500375,0.0
Naturally aged,108.5,184.0,18.3,0.0,97.8734051,0.0,0.0,0.0,0.0,0.0,0.15011259999999998,0.15011259999999998,0.0,0.0,0.17513129999999,0.0,0.0,0.5504127999999999,0.2501876,0.0,0.0,0.0,0.7005254,0.0,0.0500375,0.0,0.1000751,0.0
Naturally aged,90.25,150.5,24.5,0.0,97.6488244,0.0,0.0,0.0,0.0,0.0,0.05002500000000001,0.10005000000000001,0.0,0.0,0.2501251,0.0,0.0,0.4252126,0.10005000000000001,0.0,0.0,0.0,1.2506253,0.0,0.0750375,0.0,0.10005000000000001,0.0
Solutionised  + Artificially peak aged,346.0,434.0,8.2,0.0,92.97,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.13999999999999999,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.08,0.0,0.06999999999999999,0.06,0.0,0.13
Naturally aged,145.0,323.0,5.8,0.0,85.462,0.0,0.0,0.0,0.0,0.0,0.08699999999999,2.94,0.0,0.0,0.77,0.0,0.0,0.22,0.2,0.07200000000000001,0.0,0.0,9.055,0.0,0.0,0.0,1.194,0.0
Naturally aged,145.0,323.0,5.95,0.0,85.369,0.0,0.0,0.0,0.0,0.0,0.11900000000000001,2.9499999999999997,0.0,0.0,0.74,0.0,0.0,0.22999999999999998,0.2,0.073,0.0,0.0,9.120000000000001,0.0,0.0,0.0,1.199,0.0
Naturally aged,149.0,310.0,4.6,0.0,85.359,0.0,0.0,0.0,0.0,0.0,0.153,2.96,0.0,0.0,0.74,0.0,0.0,0.22999999999999998,0.21,0.09699999999999,0.0,0.0,9.049999999999999,0.0,0.0,0.0,1.201,0.0
Naturally aged,140.0,325.0,6.1,0.0,85.27,0.0,0.0,0.0,0.0,0.0,0.056999999999999995,2.996,0.0,0.0,0.7799999999999999,0.0,0.0,0.22,0.18,0.074,0.0,0.0,9.21,0.0,0.0,0.0,1.213,0.0
Solutionised + Artificially over aged,434.0,508.0,8.5,0.0,90.55,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.35000000000000003,0.0,0.0,2.1,0.12,0.0,0.0,0.0,0.58,0.0,0.0,0.0,5.1,0.0
Solutionised + Cold Worked + Naturally aged,375.0,450.0,5.5,0.0,95.05,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Solutionised + Cold Worked + Naturally aged,360.0,550.0,16.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
