"ID",Number,YS(MPa),UTS(MPa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ta(at%),Nb(at%),Mo(at%),Ti(at%),V(at%),Mn(at%),C(at%),Cu(at%),W(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours,?,T_K,E,?r,?.1,??,VEC,?H,?S,?.2,?.3,?.4,D.?,e/a,Ec_eV/atom,G,?.5,D.r,A,F,w,?G,D.G,total_at%,Processing_Description
308,328,879.0,1194.0,25.4,0.0,35.0,15.0,20.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,70.0,0,0.0,1273,0.16667,0,0.0,1.871,1943.2,230.1,0.0267358,3.075953739,0.12529565,8.25,-3.82,12.6874917,-6454.014103,17749.63464,1.105805388,0.1237,1.65,4.5775,87.7,-0.019901179,0.03005,-4.603671694,-84.49128547,13209.60183,0.212958447,17.78,100.0,Homogenization was performed at 1473K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1273K for 0.16667 hours
309,333,816.0,1187.0,18.9,0.0,23.26,23.26,23.26,23.26,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0,0.0,1123,1.0,0,0.0,1.843664,1943.0378,232.0058,0.023508687,2.727075851,0.127220341,8.0934,-4.15274736,12.82360766,-6000.06508,23203.49902,1.105836318,0.130598387,1.5348,4.477718,89.7144,-0.020168301,0.027341665,-4.55142455,-103.8916733,12557.86338,0.208026346,18.68485104,100.0,followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1123K for 1.0 hours
310,334,647.0,1042.0,32.5,0.0,23.26,23.26,23.26,23.26,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0,0.0,1173,5.0,0,0.0,1.843664,1943.0378,232.0058,0.023508687,2.727075851,0.127220341,8.0934,-4.15274736,12.82360766,-6000.06508,23203.49902,1.105836318,0.130598387,1.5348,4.477718,89.7144,-0.020168301,0.027341665,-4.55142455,-103.8916733,12557.86338,0.208026346,18.68485104,100.0,followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 5.0 hours
311,336,215.0,489.0,39.0,8.0,17.0,17.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1423,0.0,0,0.0,0,0.0,0,0.0,1.824,1732.55,199.95,0.03900421,3.899445925,0.108064795,7.53,-5.1292,13.91491931,-4700.205381,9146.558435,1.169483556,0.109568,1.5,4.1865,77.24,-0.048628415,0.040346,-5.090796182,-53.27914505,12718.56078,0.296939594,22.9436,100.0,Homogenization was performed at 1423K
312,337,250.0,730.0,50.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1473,0.0,0,0.0,0,0.0,0,0.0,1.734,1756.0,213.7,0.038824905,4.148441073,0.132075736,7.6,-0.92,9.713100291,-18539.35229,6443.726148,1.104301964,0.1368,1.6,3.862,84.0,-0.007083046,0.0492,-5.332978859,-53.35974094,8084.777719,0.125424449,7.8,100.0,Homogenization was performed at 1473K
313,338,330.0,870.0,75.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1473,60.0,0,0.0,1173,0.0833,0,0.0,1.734,1756.0,213.7,0.038824905,4.148441073,0.132075736,7.6,-0.92,9.713100291,-18539.35229,6443.726148,1.104301964,0.1368,1.6,3.862,84.0,-0.007083046,0.0492,-5.332978859,-53.35974094,8084.777719,0.125424449,7.8,100.0,Homogenization was performed at 1473K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 0.0833 hours
314,339,280.0,800.0,65.0,0.0,10.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1473,60.0,0,0.0,1173,0.5,0,0.0,1.734,1756.0,213.7,0.038824905,4.148441073,0.132075736,7.6,-0.92,9.713100291,-18539.35229,6443.726148,1.104301964,0.1368,1.6,3.862,84.0,-0.007083046,0.0492,-5.332978859,-53.35974094,8084.777719,0.125424449,7.8,100.0,Homogenization was performed at 1473K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 0.5 hours
315,340,339.0,810.0,88.4,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,60.0,0,0.0,1173,2.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 2.0 hours
316,341,465.0,912.0,70.5,0.0,32.26,32.26,0.0,32.26,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,1473,60.0,0,0.0,1173,2.0,0,0.0,1.827722,1924.3288,232.5426,0.019639382,2.283496516,0.125282364,8.2582,-5.077724,10.0229036,-3798.42663,25985.9084,1.106002408,0.125469463,1.3548,4.390822,89.8688,-0.022218092,0.023091708,-4.515217065,-140.0374662,13770.49207,0.216669929,18.97817088,100.0,Homogenization was performed at 1473K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 2.0 hours
317,342,644.0,1071.0,29.5,0.0,31.25,31.25,0.0,31.25,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,1473,60.0,0,0.0,1173,2.0,0,0.0,1.838125,1954.75,235.5625,0.023704185,2.791908562,0.136208423,8.1875,-5.234375,10.50674001,-3923.68717,18698.98025,1.105890264,0.137890625,1.375,4.466875,91.0,-0.022866865,0.027734375,-4.564660009,-101.5676826,13704.15011,0.221660909,20.0,100.0,Homogenization was performed at 1473K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 2.0 hours
318,344,856.0,883.0,11.5,0.0,19.89,19.88,21.04,20.8,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,1373,60.0,0,0.0,0,0.0,0,0.0,1.771297,1804.8417,219.4419,0.035699951,3.917032561,0.136181819,8.0334,-4.13840028,13.37175028,-5831.696036,10491.8727,1.114355791,0.147357014,1.4093,4.047432,85.5523,-0.014523041,0.044585538,-5.148267679,-58.65707578,10676.83047,0.174097373,13.7287431,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction
319,345,816.0,855.0,16.7,0.0,19.89,19.88,21.04,20.8,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,1373,60.0,0,0.0,973,1.0,0,0.0,1.771297,1804.8417,219.4419,0.035699951,3.917032561,0.136181819,8.0334,-4.13840028,13.37175028,-5831.696036,10491.8727,1.114355791,0.147357014,1.4093,4.047432,85.5523,-0.014523041,0.044585538,-5.148267679,-58.65707578,10676.83047,0.174097373,13.7287431,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 973K for 1.0 hours
320,346,818.0,876.0,6.2,0.0,19.89,19.88,21.04,20.8,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,1373,60.0,0,0.0,1073,1.0,0,0.0,1.771297,1804.8417,219.4419,0.035699951,3.917032561,0.136181819,8.0334,-4.13840028,13.37175028,-5831.696036,10491.8727,1.114355791,0.147357014,1.4093,4.047432,85.5523,-0.014523041,0.044585538,-5.148267679,-58.65707578,10676.83047,0.174097373,13.7287431,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1073K for 1.0 hours
321,347,696.0,816.0,17.0,0.0,19.89,19.88,21.04,20.8,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,1373,60.0,0,0.0,1173,1.0,0,0.0,1.771297,1804.8417,219.4419,0.035699951,3.917032561,0.136181819,8.0334,-4.13840028,13.37175028,-5831.696036,10491.8727,1.114355791,0.147357014,1.4093,4.047432,85.5523,-0.014523041,0.044585538,-5.148267679,-58.65707578,10676.83047,0.174097373,13.7287431,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
322,348,465.0,749.0,35.2,0.0,19.89,19.88,21.04,20.8,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,1373,60.0,0,0.0,1273,1.0,0,0.0,1.771297,1804.8417,219.4419,0.035699951,3.917032561,0.136181819,8.0334,-4.13840028,13.37175028,-5831.696036,10491.8727,1.114355791,0.147357014,1.4093,4.047432,85.5523,-0.014523041,0.044585538,-5.148267679,-58.65707578,10676.83047,0.174097373,13.7287431,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1273K for 1.0 hours
323,349,302.0,663.0,51.5,0.0,19.89,19.88,21.04,20.8,0.0,0.0,0.0,0.0,0.0,18.39,0.0,0.0,0.0,1373,60.0,0,0.0,1373,1.0,0,0.0,1.771297,1804.8417,219.4419,0.035699951,3.917032561,0.136181819,8.0334,-4.13840028,13.37175028,-5831.696036,10491.8727,1.114355791,0.147357014,1.4093,4.047432,85.5523,-0.014523041,0.044585538,-5.148267679,-58.65707578,10676.83047,0.174097373,13.7287431,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1373K for 1.0 hours
324,350,1145.0,1287.0,10.5,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1273,85.0,0,0.0,873,1.0,0,0.0,1.77,1719.2,201.6,0.03463617,3.491325958,0.141844986,6.4,2.72,13.3808668,8457.49493,11153.84274,1.114051309,0.1536,1.2,3.844,80.2,-0.033574185,0.0448,-5.007814757,-64.38338567,10031.20871,0.265606523,22.4,100.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 873K for 1.0 hours
325,351,1029.0,1186.0,11.2,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1273,85.0,0,0.0,973,1.0,0,0.0,1.77,1719.2,201.6,0.03463617,3.491325958,0.141844986,6.4,2.72,13.3808668,8457.49493,11153.84274,1.114051309,0.1536,1.2,3.844,80.2,-0.033574185,0.0448,-5.007814757,-64.38338567,10031.20871,0.265606523,22.4,100.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 973K for 1.0 hours
326,352,943.0,1110.0,12.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1273,85.0,0,0.0,1073,1.0,0,0.0,1.77,1719.2,201.6,0.03463617,3.491325958,0.141844986,6.4,2.72,13.3808668,8457.49493,11153.84274,1.114051309,0.1536,1.2,3.844,80.2,-0.033574185,0.0448,-5.007814757,-64.38338567,10031.20871,0.265606523,22.4,100.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 1073K for 1.0 hours
327,353,814.0,937.0,15.1,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1273,85.0,0,0.0,1173,1.0,0,0.0,1.77,1719.2,201.6,0.03463617,3.491325958,0.141844986,6.4,2.72,13.3808668,8457.49493,11153.84274,1.114051309,0.1536,1.2,3.844,80.2,-0.033574185,0.0448,-5.007814757,-64.38338567,10031.20871,0.265606523,22.4,100.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
328,354,493.0,693.0,36.1,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1273,85.0,0,0.0,1273,1.0,0,0.0,1.77,1719.2,201.6,0.03463617,3.491325958,0.141844986,6.4,2.72,13.3808668,8457.49493,11153.84274,1.114051309,0.1536,1.2,3.844,80.2,-0.033574185,0.0448,-5.007814757,-64.38338567,10031.20871,0.265606523,22.4,100.0,Homogenization was performed at 1273K. followed by cold rolling to 85.0% reduction. First heat treatment was performed at 1273K for 1.0 hours
329,356,755.0,836.0,6.2,11.111,22.222,22.222,22.222,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0,0.0,0,0.0,0,0.0,1.7966487,1767.42677,207.44237,0.043845796,4.547737961,0.112545725,7.66659,-9.086238026,13.14516513,-2556.95665,6837.701221,1.169115847,0.120491417,1.66665,4.2010691,80.22142,-0.05310017,0.046912642,-5.500253585,-45.22398265,11501.25056,0.306906241,24.49333729,99.999,followed by cold rolling to 20.0% reduction
330,359,1253.0,1392.0,8.2,5.0,0.0,12.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0,90.0,0,0.0,0,0.0,0,0.0,1.7362,1713.02,206.22,0.045846854,4.727269082,0.142553709,7.63,-5.8772,12.05508345,-3513.679822,5735.234073,1.167911419,0.156052,1.45,3.8623,81.4,-0.025960953,0.061798,-5.734436958,-43.67809149,8826.257394,0.211159314,14.216,100.0,followed by cold rolling to 90.0% reduction
331,360,1400.0,1500.0,7.9,10.0,0.0,12.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0,90.0,0,0.0,0,0.0,0,0.0,1.7392,1683.72,199.77,0.049494787,4.943786755,0.139195402,7.43,-8.1792,12.57110832,-2587.811338,5131.621984,1.167741406,0.153112,1.55,3.8863,78.7,-0.040780668,0.066898,-5.870620189,-39.91088002,8861.262887,0.266990335,18.646,100.0,followed by cold rolling to 90.0% reduction
332,362,383.0,725.0,53.0,0.0,21.0,18.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1473,45.0,0,0.0,1273,2.0,0,0.0,1.7587,1805.01,219.56,0.035220423,3.866498061,0.12925676,7.77,-2.5572,12.42552004,-8770.603754,10016.71768,1.114192881,0.138398,1.56,4.0063,85.71,-0.012646908,0.043294,-5.124965754,-59.80119168,9499.039333,0.163135485,12.6466,100.0,Homogenization was performed at 1473K. followed by cold rolling to 45.0% reduction. First heat treatment was performed at 1273K for 2.0 hours
333,363,427.0,703.0,46.5,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1473,80.0,0,0.0,1148,0.08333,0,0.0,1.766,1801.2,219.4,0.036643873,4.019832882,0.138361844,8.0,-4.16,13.3808668,-5793.658002,9965.096442,1.114281099,0.1504,1.4,4.024,85.6,-0.014576561,0.0464,-5.214125557,-56.69187889,10506.91257,0.174312219,13.76,100.0,Homogenization was performed at 1473K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1148K for 0.08333 hours
334,364,258.0,612.0,51.5,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1473,80.0,0,0.0,1273,0.125,0,0.0,1.766,1801.2,219.4,0.036643873,4.019832882,0.138361844,8.0,-4.16,13.3808668,-5793.658002,9965.096442,1.114281099,0.1504,1.4,4.024,85.6,-0.014576561,0.0464,-5.214125557,-56.69187889,10506.91257,0.174312219,13.76,100.0,Homogenization was performed at 1473K. followed by cold rolling to 80.0% reduction. First heat treatment was performed at 1273K for 0.125 hours
335,365,1050.0,1150.0,25.0,0.0,42.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,67.0,0,0.0,973,1.0,0,0.0,1.8238,1851.98,221.04,0.00813896,0.89951787,0.075070367,8.1,-2.0496,8.496188931,-7676.996476,128258.549,1.025930656,0.070056,1.84,4.2974,84.34,-0.011766105,0.010248,12.97648498,1678.706457,11514.85814,0.163152088,12.2808,100.0,Homogenization was performed at 1473K. followed by cold rolling to 67.0% reduction. First heat treatment was performed at 973K for 1.0 hours
336,366,700.0,880.0,40.0,0.0,42.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,67.0,0,0.0,1023,1.0,0,0.0,1.8238,1851.98,221.04,0.00813896,0.89951787,0.075070367,8.1,-2.0496,8.496188931,-7676.996476,128258.549,1.025930656,0.070056,1.84,4.2974,84.34,-0.011766105,0.010248,12.97648498,1678.706457,11514.85814,0.163152088,12.2808,100.0,Homogenization was performed at 1473K. followed by cold rolling to 67.0% reduction. First heat treatment was performed at 1023K for 1.0 hours
337,367,600.0,840.0,45.0,0.0,42.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,67.0,0,0.0,1073,1.0,0,0.0,1.8238,1851.98,221.04,0.00813896,0.89951787,0.075070367,8.1,-2.0496,8.496188931,-7676.996476,128258.549,1.025930656,0.070056,1.84,4.2974,84.34,-0.011766105,0.010248,12.97648498,1678.706457,11514.85814,0.163152088,12.2808,100.0,Homogenization was performed at 1473K. followed by cold rolling to 67.0% reduction. First heat treatment was performed at 1073K for 1.0 hours
338,368,217.0,566.0,77.0,6.52,21.74,21.74,21.74,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,1373,0.0,0,0.0,0,0.0,0,0.0,1.811524,1777.047,207.7654,0.035222645,3.659023506,0.1065435,7.435,-4.3836136,13.99291388,-5672.503989,11278.83439,1.169488546,0.111537792,1.5652,4.19003,80.48,-0.046572805,0.035675818,-4.966868516,-60.53350022,11947.71033,0.286797951,23.43684528,100.0,Homogenization was performed at 1373K
339,369,500.0,717.0,29.0,6.52,21.74,21.74,21.74,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,1373,70.0,0,0.0,1173,5.0,0,0.0,1.811524,1777.047,207.7654,0.035222645,3.659023506,0.1065435,7.435,-4.3836136,13.99291388,-5672.503989,11278.83439,1.169488546,0.111537792,1.5652,4.19003,80.48,-0.046572805,0.035675818,-4.966868516,-60.53350022,11947.71033,0.286797951,23.43684528,100.0,Homogenization was performed at 1373K. followed by cold rolling to 70.0% reduction. First heat treatment was performed at 1173K for 5.0 hours
340,371,1613.0,1741.0,3.0,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,0,0.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction
341,372,1309.0,1489.0,9.8,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.25,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.25 hours
342,373,1146.0,1284.0,18.6,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.375,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.375 hours
343,374,953.0,1178.0,34.0,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,0.5,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 0.5 hours
344,375,1176.0,1310.0,13.3,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1073,0.08333,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1073K for 0.08333 hours
345,376,1042.0,1175.0,33.6,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1073,0.1,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1073K for 0.1 hours
346,377,725.0,1056.0,45.7,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1073,0.16667,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1073K for 0.16667 hours
347,378,848.0,1088.0,39.2,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,973,1.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 973K for 1.0 hours
348,379,612.0,1034.0,57.3,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1073,1.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1073K for 1.0 hours
349,380,403.0,857.0,69.0,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1173,1.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
350,381,305.0,795.0,89.5,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1273,1.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1273K for 1.0 hours
351,382,248.0,740.0,95.6,0.0,33.33,33.34,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473,90.0,0,0.0,1373,1.0,0,0.0,1.816651,1892.0288,229.3383,0.013525824,1.550994704,0.11146046,8.3331,-4.88937768,9.133862485,-3534.505209,49926.0291,1.034832816,0.11112022,1.3333,4.309979,88.6693,-0.021526797,0.017778889,-5.552635099,-321.8517323,13840.60927,0.210060117,17.77948854,100.0,Homogenization was performed at 1473K. followed by cold rolling to 90.0% reduction. First heat treatment was performed at 1373K for 1.0 hours
352,383,318.0,631.0,37.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1373,87.0,0,0.0,1173,1.0,0,0.0,1.766,1801.2,219.4,0.036643873,4.019832882,0.138361844,8.0,-4.16,13.3808668,-5793.658002,9965.096442,1.114281099,0.1504,1.4,4.024,85.6,-0.014576561,0.0464,-5.214125557,-56.69187889,10506.91257,0.174312219,13.76,100.0,Homogenization was performed at 1373K. followed by cold rolling to 87.0% reduction. First heat treatment was performed at 1173K for 1.0 hours
353,384,308.0,642.0,35.0,0.0,10.0,10.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1373,87.0,0,0.0,1073,2.0,0,0.0,1.838,1764.6,209.7,0.030737963,3.222875427,0.121474277,9.0,-4.44,10.20567953,-4056.068039,10801.69121,1.115055197,0.1096,1.2,4.232,80.8,-0.008677485,0.0316,-4.718235244,-72.6986308,14533.21484,0.143457625,8.44,100.0,Homogenization was performed at 1373K. followed by cold rolling to 87.0% reduction. First heat treatment was performed at 1073K for 2.0 hours
354,385,248.0,543.0,43.0,0.0,10.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1373,0.0,0,0.0,0,0.0,0,0.0,1.686,1689.3,210.0,0.04321178,4.537236848,0.149144226,7.6,-2.96,11.30069393,-6449.412924,6052.026345,1.112993503,0.158,1.3,3.604,83.0,-0.007691248,0.0596,-5.614475661,-46.92928609,7661.218006,0.131098511,8.24,100.0,Homogenization was performed at 1373K
355,386,341.0,621.0,55.0,0.0,10.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1373,60.0,0,0.0,1173,0.05,0,0.0,1.686,1689.3,210.0,0.04321178,4.537236848,0.149144226,7.6,-2.96,11.30069393,-6449.412924,6052.026345,1.112993503,0.158,1.3,3.604,83.0,-0.007691248,0.0596,-5.614475661,-46.92928609,7661.218006,0.131098511,8.24,100.0,Homogenization was performed at 1373K. followed by cold rolling to 60.0% reduction. First heat treatment was performed at 1173K for 0.05 hours
